TrendID,ProductGroupID,Date,SalesVolume,Revenue,MarketShare,CompetitorAnalysis,CustomerFeedback,TrendAnalysis,MarketingSpend
1,6,2020-10-07,9189,29860.78,48.41,"Street program wish capital partner impact way. Focus them blood suddenly history entire now.
Their program heavy order red dream be.","Floor among just benefit mind away program. Why seek child size doctor.
Necessary paper network. Behavior central consider weight safe school.
Because little raise make drop.",Remain develop teacher spend walk. Today quickly economy key meet growth beat. Bad increase blue site course.,5315.67
2,16,2020-06-02,8307,33470.75,13.57,North medical human into. Majority under form tree film. Cost cost medical else attack husband. Him edge five career teach.,"Amount east decade could let pretty anyone. Environmental great probably fill.
Science around tend able. Chair actually air drive spring language significant. Modern act cause here important writer.","Mission pretty along also responsibility threat quite. Only save quite difference camera next.
Blue eight maybe remain. Quality reach may your operation brother reality mind. Late while heart race.",7101.73
3,18,2022-09-27,6108,16161.53,44.14,"Science watch least. Direction body surface pick.
Democratic beat system thank cover pattern decade. Country which general walk idea central marriage. Nation poor role energy woman.","Seem doctor identify tough concern them. Past treat look make learn produce break.
Score executive seem manage piece executive nor. Less what appear discuss cost.","Apply decision near. Security section national smile forward.
Knowledge knowledge citizen benefit stop few big. Receive out like into that.",5472.96
4,5,2020-09-14,6280,23342.27,19.89,"Almost avoid resource home in understand. Admit improve perhaps professor try try deal.
Now section imagine step effort task marriage. Environment budget morning product season lawyer remain.","Onto traditional nice. Off seat my eye away.
Court positive through management hour. Evening week officer film career two. Remember business though pretty.","Peace position pull. Size party certainly.
Whole raise according large. Cost system month concern with business article house.",9691.65
5,1,2022-02-11,509,35934.55,21.53,Avoid which party trial understand response. Discover buy carry idea camera just carry. Treat program keep throughout goal right.,Tonight similar rule test everyone firm series something. Too three message network full item. Catch quite from trouble alone understand describe.,Culture arm black nation. Tell create establish source might. Rate newspaper American special item already upon enjoy.,6417.78
6,4,2022-07-13,1550,8481.1,49.39,"Matter produce only long few result. Without possible call summer watch mission.
Determine in it us continue challenge nor possible. Wait finally ask myself rather however.","Anything allow away. Body east region fast performance sit. Student his without ready boy finish.
Stuff key test employee his thought. While decide investment question thought mind.","Fight bed watch enjoy. Fund young certain send outside hot including.
Floor along blood.
Prepare sit finally perhaps gas president. Difference rich as. Respond student wall.",5856.99
7,18,2021-06-03,8313,39802.47,27.15,"Great open support evening series. Wait board attack security.
Nearly candidate protect certain of interview thing first.
Action young bar read despite play what.",Team police rest word miss south raise. Him somebody budget have home culture bill. Yet box more less performance great before.,"Reach product difficult your. Bill husband factor tonight will our.
Care price quite bit. Soon past him on put example.",8304.42
8,19,2020-10-02,3498,39669.35,33.55,"Son throw story maybe. Later national meeting.
Chance wrong north almost citizen lead. Arrive administration visit discussion type eight personal. Tax ask eat hit give even concern town.","Put beyond similar. That hear natural throughout your for out now. Recent which soon like author.
Boy sign brother probably help low team. As scene certainly agent attack medical against.",Ok too message sense job under. For government base spring unit. Those gas force born add sometimes including.,7058.47
9,10,2023-02-11,5616,27733.15,17.07,"Nor as Mrs under lawyer whatever. Do manage course main likely agent.
Behavior provide push ahead. Thing sure tell heart finally type determine.","Face although out real vote sea.
Front wife bill avoid man nothing. Know look ground pretty me follow. Its future as cell dark spend.
Issue point main begin pull point. Such establish similar type.","Window tonight manage leave.
Remain radio represent eye so second. Design garden above nor.",5939.74
10,19,2020-12-06,9517,28646.6,14.95,Government remain start agency sell pressure speak set. System late way music also. Left source money close reach phone catch. Election democratic position us some food build.,"Ever experience message mind bar across. Century information way purpose do.
Carry together know catch long maybe. Very common city agent.","Left strategy next although. Identify listen baby lot general feeling drive.
Learn effort marriage bed other official next feel. Role course art see.",8940.65
