AccessID,CustomerID,AccessDate,PageViewed,TimeSpent,DeviceType,BrowserType,IPAddress,Location,ReferrerURL
1,382,2024-01-28,categories/categories/list,65,Mobile,Firefox,5.122.97.137,Lake Alexandriatown,http://www.hancock-benson.org/author.html
2,521,2024-02-26,search/category,142,Mobile,Safari,57.171.231.8,Grahammouth,https://www.jackson.com/categories/index/
3,434,2024-06-03,search/main,266,Desktop,Edge,50.33.146.197,Staceystad,http://parks.com/
4,698,2024-03-23,app,187,Desktop,Safari,201.58.117.234,Port Pamelachester,http://brady.net/category/search/posts/main.php
5,81,2024-03-25,tags/tag/app,538,Tablet,Chrome,139.180.160.77,East Anthonychester,https://www.allison.com/
6,300,2024-02-04,main,114,Desktop,Safari,68.252.188.112,Davidberg,https://www.estrada.com/main/explore/index.php
7,618,2024-02-28,main,233,Mobile,Safari,82.60.87.209,Port Susanville,https://www.mason.org/tag/search/app/about/
8,215,2024-03-09,category,593,Mobile,Firefox,77.74.242.0,New Carrie,http://crawford.com/about.php
9,353,2024-01-20,wp-content,511,Tablet,Edge,215.68.59.203,West Jonathan,https://www.mcconnell.com/main.html
10,355,2024-01-19,list/app/tags,510,Desktop,Chrome,87.156.35.210,Johnsonside,https://hunter.info/about.asp
11,602,2024-04-17,tag,188,Tablet,Edge,78.123.130.28,East Richard,http://beltran.net/
12,643,2024-04-18,list/wp-content/wp-content,385,Desktop,Edge,16.206.86.230,Melissaburgh,https://www.lopez-taylor.com/posts/blog/categories/home/
13,220,2024-02-19,search/tag/main,214,Mobile,Edge,199.59.135.225,New Stacy,https://pierce.com/list/wp-content/home/
14,156,2024-05-16,categories/list/category,403,Desktop,Safari,67.135.188.245,Lopezside,https://bass.net/posts/wp-content/search/terms.htm
15,162,2024-03-09,list,541,Tablet,Edge,219.83.97.6,Richardburgh,http://www.alexander-riddle.net/search/
16,212,2024-06-07,tag/posts,441,Desktop,Edge,151.243.183.144,Port Williamfort,https://www.rubio-salas.com/list/search/
17,117,2024-03-17,wp-content/tag/tags,432,Mobile,Firefox,181.9.140.105,Mitchellchester,http://wright.biz/post/
18,306,2024-06-08,posts,334,Mobile,Edge,118.5.214.101,Lake Jason,https://www.wallace-velazquez.com/search.htm
19,288,2024-01-02,categories/tags,184,Tablet,Safari,158.190.123.153,West Shawn,https://joyce.com/
20,165,2024-03-08,app/tags,390,Mobile,Chrome,4.154.51.102,Davidton,https://hinton.info/
21,173,2024-04-06,posts/tag,342,Mobile,Safari,20.232.119.239,Lake Erin,https://www.brown.com/
22,145,2024-04-28,search/category/app,142,Desktop,Edge,150.163.84.88,Mariahaven,http://osborn.com/
23,100,2024-04-23,main,518,Desktop,Safari,125.137.154.143,Ericaborough,https://hunter.org/posts/about.asp
24,192,2024-02-16,blog/posts,319,Desktop,Chrome,124.189.174.248,Herrerafort,https://www.watkins.com/tag/tag/index/
25,368,2024-04-30,tags,416,Desktop,Edge,188.90.74.218,Lake Karenton,https://www.johnson.com/about.asp
26,458,2024-02-04,app,167,Tablet,Chrome,167.241.61.22,Mendezport,http://mercer.info/explore/tag/search/
27,662,2024-03-01,list/categories/main,285,Desktop,Edge,171.149.69.195,Lake Brettberg,http://www.wright.info/home.html
28,625,2024-04-25,wp-content/posts,313,Mobile,Edge,79.153.215.75,Paulhaven,http://hendrix.com/about.php
29,8,2024-02-12,blog/blog/wp-content,328,Tablet,Edge,77.73.137.184,South Kathrynland,https://www.reed-rangel.com/faq.html
30,72,2024-06-09,tag/tags,568,Tablet,Firefox,140.255.228.218,East Bobby,http://www.hayes.com/category/search/
31,511,2024-04-10,main/wp-content,68,Mobile,Firefox,63.38.70.242,Rothburgh,http://peters-lewis.net/category/register.html
32,515,2024-05-06,tags/categories,470,Tablet,Chrome,168.239.184.62,East Rebecca,http://www.clark.com/posts/wp-content/register/
33,46,2024-06-18,explore,592,Mobile,Safari,58.143.211.10,North Denisechester,http://www.robbins.org/categories/list/author/
34,44,2024-04-07,tags,441,Mobile,Chrome,130.61.57.208,Cookfurt,http://www.moss.com/
35,508,2024-02-21,search/categories/search,442,Mobile,Edge,30.22.94.14,North Sandraland,https://www.bailey.info/
36,463,2024-03-19,tag/explore/main,592,Desktop,Safari,86.81.199.15,West Aaronberg,http://ruiz.com/main/
37,429,2024-04-12,tags/tag,25,Tablet,Edge,42.171.65.250,Stephenbury,https://www.jones.com/
38,173,2024-01-09,main,168,Mobile,Safari,172.224.88.232,Port Zacharymouth,https://pham.com/search/
39,11,2024-02-26,category/posts,268,Mobile,Chrome,158.126.86.50,Willieport,http://www.ward-patterson.net/
40,270,2024-02-24,search/wp-content,97,Tablet,Chrome,148.149.96.218,Wilkinsonview,https://www.brown.info/terms.jsp
41,116,2024-06-09,tags/blog,241,Desktop,Chrome,206.239.121.123,Crystaltown,http://www.johnson-collins.net/
42,442,2024-06-16,app/search,232,Mobile,Chrome,142.220.166.235,Timothymouth,https://taylor.biz/app/faq.php
43,597,2024-02-27,categories/main,258,Mobile,Firefox,206.242.208.226,West Shellychester,http://taylor.com/
44,324,2024-01-05,categories/explore,523,Desktop,Safari,80.173.182.37,South Brittneychester,http://www.perez.info/categories/category/
45,437,2024-01-22,tag/app/posts,353,Desktop,Firefox,58.54.220.248,Karenmouth,http://lopez.com/
46,88,2024-01-11,list/posts,82,Mobile,Chrome,112.7.106.133,Williamstown,http://www.day.net/search/list/wp-content/category.jsp
47,402,2024-02-14,blog/tag/blog,562,Tablet,Safari,84.65.149.126,New Kristiport,http://www.foster.org/login.asp
48,330,2024-05-18,app,449,Mobile,Safari,28.255.161.195,Paultown,https://torres.biz/search.html
49,677,2024-02-22,tag/tags/tags,473,Mobile,Safari,195.102.79.11,South Michealfurt,https://weeks.com/index.htm
